1
Vendor Device GVertexMath GPixelMath GOutputBytes GAniso1 GAniso2 GAniso4 GAniso8 GAniso16
1002 68E5 3.90 4.30 3.80 0.80 0.55 0.31 0.20 0.14 "AMD Radeon HD 6330M"
1002 68F9 8.37 9.35 5.09 1.18 0.94 0.55 0.38 0.27 "ATI Radeon HD 5450"
1002 7100 2.19 8.64 29.88 4.51 2.16 0.97 0.52 0.32 "Radeon X1800 Series"
1002 710A 1.86 5.45 21.01 2.88 1.41 0.62 0.33 0.20 "Radeon X1800 GTO"
1002 7142 0.51 1.99 6.26 1.04 0.50 0.22 0.12 0.07 "Radeon X1300/X1550 Series"
1002 7146 0.42 1.63 5.34 0.85 0.41 0.18 0.10 0.06 "Radeon X1300 / X1550 Series  (Microsoft Corporation - WDDM)"
1002 7149 0.37 1.45 4.97 0.73 0.35 0.16 0.09 0.05 "ATI Mobility Radeon X1300"
1002 7163 0.51 2.00 6.21 1.04 0.49 0.22 0.12 0.07 "ATI Radeon X1300/X1550 Series Secondary"
1002 7181 0.59 2.32 6.32 1.20 0.56 0.26 0.14 0.08 "Radeon X1650 Series"
1002 7183 0.55 2.17 6.31 1.13 0.53 0.24 0.13 0.08 "Radeon X1300/X1550 Series (Microsoft Corporation - WDDM)"
1002 7187 0.42 1.62 5.44 0.79 0.37 0.18 0.10 0.06 "Radeon X1300/X1550 Series (Microsoft Corporation - WDDM)"
1002 7188 0.44 1.74 6.01 0.87 0.42 0.20 0.10 0.06 "ATI Mobility Radeon X2300"
1002 718A 0.44 1.74 2.13 0.46 0.31 0.19 0.12 0.08 "ATI Mobility Radeon X2300"
1002 7196 0.39 1.51 5.12 0.75 0.36 0.17 0.09 0.06 "ATI Mobility Radeon X1350"
1002 71C0 1.35 6.19 8.10 1.13 0.55 0.24 0.13 0.08 "Radeon X1600 Series"
1002 71C1 1.29 5.94 6.98 1.01 0.47 0.22 0.12 0.07 "Radeon X1650 Series"
1002 71C2 1.15 5.13 6.22 0.83 0.39 0.19 0.11 0.06 "Radeon X1600/X1650 Series"
1002 71C5 0.98 4.46 5.81 0.81 0.40 0.18 0.10 0.06 "ATI MOBILITY RADEON X1600"
1002 71C6 1.37 6.25 8.12 1.07 0.51 0.24 0.13 0.08 "Radeon X1650 Series"
1002 71C7 1.16 5.27 6.90 0.96 0.46 0.21 0.11 0.07 "Radeon X1650 Series"
1002 71D2 1.16 5.28 6.90 0.96 0.47 0.21 0.11 0.07 "ATI FireGL V3400"
