1
Vendor Device GVertexMath GPixelMath GOutputBytes GAniso1 GAniso2 GAniso4 GAniso8 GAniso16
10DE 0603 18.62 39.31 19.58 4.70 4.02 3.07 2.30 1.77 "NVIDIA GeForce GT 230"
10DE 0605 26.15 55.06 9.98 2.35 1.99 1.64 1.53 1.43 "NVIDIA GeForce 9800 GT"
10DE 0606 25.02 52.54 29.70 7.31 6.35 4.49 3.28 2.49 "NVIDIA GeForce 8800 GS"
10DE 0607 29.31 61.68 34.27 8.04 7.00 4.87 3.63 2.78 "NVIDIA GeForce GTS 240"
10DE 0609 3.17 7.13 15.52 3.81 2.35 1.34 0.94 0.71 "NVIDIA GeForce 8800M GTS"
10DE 060A 15.24 31.52 14.95 3.72 3.16 2.71 2.10 1.66 "NVIDIA GeForce GTX 280M"
10DE 060B 8.19 10.14 15.45 3.81 3.15 1.95 1.40 1.05 "NVIDIA GeForce 9800M GT"
10DE 060C 18.38 24.46 28.54 7.29 6.39 3.65 2.59 1.90 "NVIDIA GeForce 8800M GTX"
10DE 060F 10.85 22.89 15.39 3.79 3.21 2.37 1.74 1.32 "NVIDIA GeForce GTX 285M"
10DE 0610 20.13 24.14 15.79 3.63 3.10 2.72 2.23 1.78 "NVIDIA GeForce 9600 GSO"
10DE 0611 29.39 62.54 40.92 10.14 8.30 5.41 3.96 3.03 "NVIDIA GeForce 8800 GT"
10DE 0612 33.49 70.36 37.25 9.21 7.62 5.74 4.31 3.32 "NVIDIA GeForce 9800 GTX/9800 GTX+"
10DE 0613 36.58 72.81 43.50 10.84 9.63 6.83 4.92 3.68 "NVIDIA GeForce 9800 GTX+"
10DE 0614 20.21 42.46 12.45 2.73 2.16 1.67 1.46 1.27 "NVIDIA GeForce 9800 GT"
10DE 0615 36.69 77.51 43.61 10.86 9.39 6.48 4.77 3.62 "NVIDIA GeForce GTS 250"
10DE 0618 13.37 28.09 15.93 3.95 3.27 2.53 1.94 1.50 "NVIDIA GeForce GTX 260M"
10DE 061C 12.27 26.43 28.91 7.21 4.39 2.47 1.74 1.29 "NVIDIA Quadro FX 3600M"
10DE 061D 22.23 47.48 34.78 8.78 7.77 4.42 3.13 2.33 "NVIDIA Quadro FX 2800M"
10DE 061E 27.88 58.38 32.00 7.99 7.08 5.13 3.65 2.75 "NVIDIA Quadro FX 3700M"
10DE 0621 15.99 34.01 37.96 9.50 5.78 3.24 2.29 1.70 "NVIDIA GeForce GT 230"
10DE 0622 15.94 34.07 38.05 9.51 5.80 3.24 2.28 1.70 "NVIDIA GeForce 9600 GT"
10DE 0623 9.31 10.99 19.71 4.77 3.25 1.86 1.32 0.98 "NVIDIA GeForce 9600 GS"
10DE 0625 12.03 25.64 21.32 4.32 3.87 2.41 1.71 1.27 "NVIDIA GeForce 9600 GSO 512"
10DE 0626 9.20 19.88 20.76 4.99 3.28 1.86 1.31 0.97 "NVIDIA GeForce GT 130"
10DE 0627 15.98 33.72 37.47 9.30 5.72 3.21 2.27 1.67 "NVIDIA GeForce GT 140"
10DE 0628 14.95 31.73 34.86 8.69 5.29 2.98 2.10 1.56 "NVIDIA GeForce 9800M GTS"
10DE 062A 9.52 20.71 23.15 5.76 3.42 1.93 1.37 1.02 "NVIDIA GeForce 9700M GTS"
10DE 062B 12.73 27.42 30.58 7.58 4.53 2.94 2.38 1.83 "NVIDIA GeForce 9800M GS"
10DE 062C 7.90 16.80 15.85 3.90 3.10 1.89 1.35 1.01 "NVIDIA GeForce 9800M GTS"
10DE 062E 14.97 31.84 34.94 8.69 5.32 2.98 2.10 1.56 "NVIDIA GeForce GT 130"
10DE 063A 5.82 12.68 15.33 3.77 2.52 1.47 1.04 0.77 "NVIDIA Quadro FX 2700M"
10DE 0640 6.99 14.82 10.95 2.54 2.15 1.34 0.95 0.71 "NVIDIA GeForce 9500 GT"
10DE 0641 3.38 7.17 8.00 1.78 1.03 0.56 0.38 0.28 "NVIDIA GeForce 9400 GT"
10DE 0644 7.02 14.89 13.08 3.08 2.29 1.36 0.96 0.72 "NVIDIA GeForce 9500 GS"
10DE 0646 6.75 14.26 13.35 3.12 2.32 1.35 0.90 0.71 "NVIDIA GeForce GT 120"
10DE 0647 6.16 8.36 14.56 3.64 2.23 1.25 0.88 0.65 "NVIDIA GeForce 9600M GT"
10DE 0648 5.30 11.62 10.11 2.37 1.77 1.06 0.75 0.56 "NVIDIA GeForce 9600M GS"
10DE 0649 6.12 13.13 10.55 2.47 1.98 1.22 0.86 0.64 "NVIDIA GeForce 9600M GT"
10DE 064A 7.22 15.23 16.63 3.96 2.51 1.41 1.00 0.74 "NVIDIA GeForce 9700M GT"
10DE 064C 2.68 5.77 6.49 1.53 1.13 0.66 0.47 0.35 "NVIDIA GeForce 9650M GT"
10DE 0652 7.46 15.79 13.24 3.12 2.45 1.47 1.04 0.78 "NVIDIA GeForce GT 130M"
10DE 0653 6.21 13.27 13.20 3.08 2.15 1.23 0.88 0.65 "NVIDIA GeForce GT 120M"
10DE 0654 6.73 14.24 12.90 3.03 2.30 1.35 0.95 0.71 "NVIDIA GeForce GT 220M"
10DE 065B 3.39 7.13 4.02 0.94 0.80 0.58 0.43 0.33 "NVIDIA GeForce 9400 GT"
10DE 065C 6.13 13.19 14.48 3.59 2.21 1.24 0.87 0.65 "NVIDIA Quadro FX 770M"
10DE 06C0 81.18 85.13 44.19 11.11 6.73 3.78 2.70 2.01 "NVIDIA GeForce GTX 480"
10DE 06C4 88.62 62.06 28.39 5.46 4.78 2.69 1.94 1.48 "NVIDIA GeForce GTX 465"
10DE 06CD 113.46 119.50 61.56 15.57 9.48 5.32 3.72 2.78 "NVIDIA GeForce GTX 470"
10DE 06DD 50.60 53.24 36.88 7.26 4.24 2.37 1.68 1.26 "NVIDIA Quadro 4000"
10DE 06E0 1.63 3.41 5.98 1.12 0.94 0.63 0.46 0.34 "NVIDIA GeForce 9300 GE"
10DE 06E1 1.75 3.73 3.54 0.81 0.69 0.52 0.40 0.31 "NVIDIA GeForce 9300 GS"
10DE 06E2 1.64 3.47 5.85 1.07 0.92 0.64 0.46 0.34 "NVIDIA GeForce 8400"
10DE 06E4 1.69 3.59 5.04 1.09 0.91 0.63 0.46 0.35 "NVIDIA GeForce 8400 GS"
10DE 06E6 1.63 3.47 7.13 1.14 0.99 0.65 0.47 0.35 "NVIDIA GeForce G100"
10DE 06E8 1.62 3.47 5.26 1.06 0.83 0.51 0.35 0.26 "NVIDIA GeForce 9200M GS"
10DE 06E9 1.81 3.85 4.91 1.07 0.86 0.58 0.43 0.32 "NVIDIA GeForce 9300M GS"
10DE 06EB 1.82 3.86 4.41 1.00 0.83 0.60 0.44 0.34 "NVIDIA Quadro NVS 160M"
10DE 06EC 1.99 4.24 8.90 1.39 1.19 0.77 0.55 0.41 "NVIDIA GeForce G 105M"
10DE 06EF 1.99 4.24 6.13 1.30 1.00 0.66 0.48 0.37 "NVIDIA GeForce G 103M"
10DE 06FB 1.78 3.83 4.80 1.03 0.86 0.60 0.45 0.34 "NVIDIA Quadro FX 370M"
10DE 07E1 0.28 2.12 2.63 0.64 0.37 0.22 0.16 0.12 "NVIDIA GeForce 7100 / NVIDIA nForce 630i"
10DE 07E3 0.23 1.76 2.61 0.54 0.33 0.21 0.17 0.14 "NVIDIA GeForce 7050 / NVIDIA nForce 610i"
10DE 07E5 0.23 1.76 2.34 0.43 0.27 0.20 0.16 0.13 "NVIDIA GeForce 7050 / NVIDIA nForce 620i"
10DE 0847 1.50 3.17 3.02 0.76 0.68 0.49 0.37 0.29 "NVIDIA GeForce 9100"
10DE 0848 1.87 4.00 5.06 1.15 0.96 0.61 0.44 0.32 "NVIDIA GeForce 8300"
10DE 0849 1.49 3.20 4.38 0.95 0.64 0.37 0.26 0.20 "NVIDIA GeForce 8200"
10DE 084B 1.51 3.20 4.83 1.05 0.93 0.60 0.43 0.32 "NVIDIA GeForce 9200"
10DE 084F 1.50 3.20 3.20 0.78 0.69 0.51 0.38 0.29 "NVIDIA GeForce 8100 / nForce 720a"
10DE 0861 2.73 5.76 6.59 1.64 1.00 0.56 0.40 0.29 "NVIDIA GeForce 9400"
10DE 0863 2.00 4.19 5.14 1.27 0.78 0.43 0.31 0.23 "NVIDIA GeForce 9400M"
10DE 0864 2.90 6.24 5.19 1.37 0.96 0.55 0.39 0.29 "NVIDIA GeForce 9300"
10DE 0866 2.68 5.68 4.69 1.05 0.92 0.53 0.37 0.29 "NVIDIA GeForce 9400M G"
10DE 0869 2.99 6.31 5.87 1.47 1.00 0.56 0.40 0.30 "NVIDIA GeForce 9400"
10DE 086E 1.38 2.93 5.71 1.05 0.90 0.55 0.39 0.29 "NVIDIA GeForce 9100M G"
10DE 086F 1.01 2.13 3.13 0.78 0.60 0.46 0.32 0.25 "NVIDIA GeForce 8200M G"
10DE 0873 2.73 5.75 5.67 1.25 0.90 0.55 0.39 0.29 "NVIDIA GeForce G102M"
10DE 08A0 1.87 6.42 5.90 1.48 0.99 0.56 0.40 0.29 "NVIDIA GeForce 320M"
10DE 0A20 6.20 20.88 5.62 2.40 2.02 1.34 0.98 0.75 "NVIDIA GeForce GT 220"
10DE 0A22 3.76 12.79 4.04 0.94 0.79 0.62 0.48 0.39 "NVIDIA GeForce 315"
10DE 0A23 2.54 8.70 6.93 1.74 1.05 0.59 0.42 0.31 "NVIDIA GeForce 210"
10DE 0A28 5.04 17.31 14.48 3.62 2.22 1.24 0.87 0.65 "NVIDIA GeForce GT 230M"
10DE 0A29 5.78 19.80 16.45 4.15 2.54 1.42 1.00 0.74 "NVIDIA GeForce GT 330M"
10DE 0A2A 3.71 12.60 8.35 2.01 1.61 0.98 0.69 0.52 "NVIDIA GeForce GT 230M"
10DE 0A2B 4.81 16.56 13.85 3.46 2.12 1.18 0.83 0.62 "NVIDIA GeForce GT 330M"
10DE 0A2C 5.61 19.24 15.97 4.01 2.44 1.36 0.96 0.72 "NVIDIA NVS 5100M"
10DE 0A2D 2.54 8.71 7.30 1.82 1.11 0.62 0.44 0.32 "NVIDIA GeForce GT 320M"
10DE 0A34 5.61 19.26 16.07 3.98 2.42 1.36 0.96 0.71 "NVIDIA GeForce GT 240M"
10DE 0A35 4.53 15.55 13.02 3.26 1.98 1.10 0.78 0.58 "NVIDIA GeForce GT 325M"
10DE 0A3C 5.51 19.20 15.98 3.99 2.43 1.36 0.96 0.72 "NVIDIA Quadro FX 880M"
10DE 0A60 3.23 7.42 6.34 1.48 1.14 0.71 0.51 0.38 "NVIDIA GeForce G210"
10DE 0A64 2.81 6.53 7.63 1.86 1.16 0.65 0.46 0.34 "NVIDIA ION"
10DE 0A65 3.25 7.47 5.37 1.16 1.01 0.69 0.50 0.37 "NVIDIA GeForce 210"
10DE 0A66 3.21 7.41 6.58 1.51 1.18 0.72 0.51 0.38 "NVIDIA GeForce 310"
10DE 0A67 3.23 7.43 8.47 2.05 1.29 0.73 0.52 0.38 "NVIDIA GeForce 315"
10DE 0A68 2.83 6.57 7.74 1.90 1.23 0.81 0.67 0.52 "NVIDIA GeForce G105M"
10DE 0A6C 3.40 7.68 8.79 2.03 1.32 0.75 0.53 0.40 "NVIDIA NVS 3100M"
10DE 0A70 3.42 7.80 8.48 1.90 1.30 0.75 0.53 0.40 "NVIDIA GeForce 310M"
10DE 0A72 1.88 4.29 5.60 1.22 0.86 0.50 0.35 0.26 "NVIDIA GeForce 310M"
10DE 0A74 3.39 7.74 6.51 1.51 1.17 0.71 0.52 0.39 "NVIDIA GeForce G210M"
10DE 0A75 3.53 8.07 9.05 2.09 1.36 0.76 0.55 0.40 "NVIDIA GeForce 310M"
10DE 0A76 2.01 4.26 5.50 1.20 0.86 0.49 0.35 0.26 "NVIDIA ION"
10DE 0A7A 3.41 4.30 5.12 1.14 0.85 0.75 0.53 0.39 "NVIDIA GeForce 315M"
10DE 0CA0 12.31 41.98 16.07 3.96 3.51 2.55 1.85 1.39 "NVIDIA GeForce GT 330"
10DE 0CA2 9.01 30.79 15.86 3.96 3.56 2.00 1.41 1.05 "NVIDIA GeForce GT 320"
10DE 0CA3 12.36 42.42 12.85 3.15 2.62 2.23 1.70 1.31 "NVIDIA GeForce GT 240"
10DE 0CA3 12.31 25.27 8.34 2.02 1.77 1.46 1.15 0.90 "NVIDIA GeForce GT 240"
10DE 0CA5 6.23 21.12 8.74 2.15 1.81 1.25 0.90 0.69 "NVIDIA GeForce GT 220"
10DE 0CAF 7.48 25.61 13.16 3.30 2.55 1.36 0.93 0.70 "NVIDIA GeForce GT 335M"
10DE 0CB0 9.92 25.08 8.02 1.97 1.72 2.18 1.53 1.14 "NVIDIA GeForce GTS 350M"
10DE 0CB1 12.10 25.03 7.59 1.84 1.60 1.35 1.08 1.39 "NVIDIA GeForce GTS 360M"
10DE 0DC0 29.60 38.22 17.50 4.35 3.90 2.22 1.58 1.18 "NVIDIA GeForce GT 440"
10DE 0DC4 51.66 67.36 22.82 5.24 4.28 3.13 2.48 1.92 "NVIDIA GeForce GTS 450"
10DE 0DC6 38.59 50.50 23.07 5.78 5.16 2.94 2.09 1.56 "NVIDIA GeForce GTS 450"
10DE 0DCD 29.33 37.68 17.32 4.34 3.87 2.20 1.57 1.17 "NVIDIA GeForce GT 555M"
10DE 0DD1 27.07 25.38 9.75 4.76 2.38 0.96 0.95 0.80 "NVIDIA GeForce GTX 460M"
10DE 0DD2 29.09 37.66 17.26 4.30 3.84 2.19 1.56 1.16 "NVIDIA GeForce GT 445M"
10DE 0DD3 19.47 25.35 17.11 4.26 2.56 1.47 1.04 0.78 "NVIDIA GeForce GT 435M"
10DE 0DE1 22.96 29.71 9.87 2.02 1.70 1.23 0.95 0.76 "NVIDIA GeForce GT 430"
10DE 0DE2 11.50 14.90 10.23 2.44 1.52 0.87 0.62 0.47 "NVIDIA GeForce GT 420"
10DE 0E22 47.27 62.02 20.76 4.03 3.30 3.06 2.35 1.81 "NVIDIA GeForce GTX 460"
10DE 0E23 64.08 83.39 38.17 9.55 8.47 4.87 3.46 2.59 "NVIDIA GeForce GTX 460 SE"
10DE 0E24 74.08 60.78 20.42 4.09 3.33 3.07 2.34 1.79 "NVIDIA GeForce GTX 460"
10DE 0E30 52.52 68.15 31.50 7.84 7.05 3.99 2.84 2.12 "NVIDIA GeForce GTX 470M"
10DE 1040 13.10 17.18 11.85 2.54 1.70 1.00 0.71 0.54 "NVIDIA GeForce GT 520"
10DE 1050 12.12 15.74 10.85 2.35 1.57 0.92 0.66 0.49 "NVIDIA GeForce GT 520M"
10DE 1055 9.46 12.19 8.43 1.90 1.24 0.72 0.51 0.38 "NVIDIA GeForce 410M"
10DE 1056 12.12 15.79 10.87 2.32 1.57 0.92 0.66 0.49 "NVIDIA NVS 4200M"
10DE 1057 13.36 17.32 11.85 2.54 1.70 1.00 0.71 0.53 "NVIDIA NVS 4200M"
10DE 1080 166.33 175.14 89.67 22.95 13.96 7.83 5.47 4.08 "NVIDIA GeForce GTX 580"
10DE 1081 170.12 179.26 91.70 23.18 14.14 7.95 5.52 4.11 "NVIDIA GeForce GTX 570"
10DE 1081 146.15 154.43 79.41 20.05 12.18 6.86 4.89 3.64 "NVIDIA GeForce GTX 570"
10DE 1082 107.44 113.51 58.82 14.79 8.98 5.04 3.58 2.68 "NVIDIA GeForce GTX 560 Ti"
10DE 1084 88.47 92.89 47.80 12.16 7.40 4.15 2.95 2.20 "NVIDIA GeForce GTX 560"
10DE 1086 152.92 84.65 36.14 6.41 5.38 7.09 5.08 3.77 "NVIDIA GeForce GTX 570"
10DE 1088 129.24 134.97 69.25 17.71 10.81 6.05 4.22 3.15 "NVIDIA GeForce GTX 590"
10DE 10C3 1.64 3.73 6.38 1.15 0.98 0.68 0.50 0.37 "NVIDIA GeForce 8400GS"
10DE 10C5 3.24 7.43 8.65 2.03 1.30 0.73 0.52 0.38 "NVIDIA GeForce 405"
10DE 1200 53.59 68.87 23.37 5.83 5.06 3.78 2.77 2.09 "NVIDIA GeForce GTX 560 Ti"
10DE 1244 59.69 77.34 25.77 4.55 3.74 2.99 2.56 2.04 "NVIDIA GeForce GTX 550 Ti"
10DE 1245 50.73 67.20 22.90 5.72 4.95 3.40 2.59 1.98 "NVIDIA GeForce GTS 450"
8086 0046 4.54 15.67 13.08 3.24 1.99 1.11 0.78 0.58 "Intel(R) HD Graphics"
8086 0116 10.27 11.44 5.79 1.45 0.77 0.40 0.26 0.18 "Intel(R) HD Graphics Family"
8086 0126 10.27 11.44 5.79 1.45 0.77 0.40 0.26 0.18 "Intel(R) HD Graphics Family"
8086 2A42 0.55 9.06 3.14 0.37 0.32 0.20 0.12 0.08 "Mobile Intel(R) 4 Series Express Chipset Family"
