1
Vendor Device Geom Aniso1 Aniso2 Aniso4 Aniso8 Aniso16 PArith11 PTexD11 PArith20
1002 4B6C 393.00 3280.00 1680.00 824.00 462.00 286.00 871.00 876.00 472.00
1002 4C57 55.50 431.00 184.00 129.00 92.40 73.60 0.00 0.00 0.00
1002 4C58 55.40 476.00 177.00 126.00 90.80 72.70 0.00 0.00 0.00
1002 4C59 95.10 52.20 36.80 31.50 26.90 23.20 0.00 0.00 0.00
1002 4C66 46.70 805.00 314.00 221.00 157.00 119.00 105.00 103.00 0.00
1002 4E44 148.00 1130.00 600.00 266.00 142.00 87.60 237.00 301.00 140.00
1002 4E45 91.60 1010.00 523.00 235.00 124.00 75.70 207.00 257.00 115.00
1002 4E46 107.00 1020.00 511.00 244.00 133.00 80.90 223.00 278.00 0.00
1002 4E47 160.00 1180.00 612.00 275.00 147.00 88.90 270.00 265.00 143.00
1002 4E48 188.00 1330.00 705.00 320.00 171.00 104.00 315.00 314.00 168.00
1002 4E49 162.00 1110.00 555.00 263.00 144.00 88.40 269.00 269.00 144.00
1002 4E4A 130.00 1410.00 732.00 331.00 177.00 108.00 294.00 367.00 164.00
1002 4E4B 200.00 1310.00 723.00 333.00 181.00 111.00 333.00 330.00 179.00
1002 4E50 106.00 782.00 385.00 184.00 100.00 61.30 171.00 213.00 101.00
1002 4E51 81.00 607.00 304.00 138.00 73.50 44.50 136.00 136.00 72.30
1002 4E52 57.90 470.00 238.00 106.00 56.30 34.00 93.40 117.00 55.10
1002 4E54 79.40 658.00 390.00 195.00 94.20 50.80 120.00 150.00 70.80
1002 4E56 62.10 466.00 239.00 106.00 56.60 34.20 94.10 117.00 55.40
1002 4E64 136.00 995.00 570.00 264.00 132.00 78.60 228.00 223.00 121.00
1002 4E65 131.00 960.00 501.00 224.00 120.00 72.50 220.00 219.00 117.00
1002 4E66 107.00 1010.00 490.00 237.00 131.00 80.60 223.00 278.00 0.00
1002 4E68 188.00 1320.00 698.00 315.00 170.00 103.00 314.00 314.00 167.00
